 ID;NOMBRE_ESTACION;LATITUD;LONGITUD;;
78710;TERRASSA EST;415.661.808;20.386.845;;
79607;TORDERA;417.072.202;2.719.419;;
77111;TORELLO;420.519.852;22.599.796;;
78801;TORRE DEL BARO;414.603.746;2.181.518;;
77305;TOSES;423.207.829;20.151.426;;
77307;URTX-ALP;423.768.775;18.968.278;;
78606;VACARISSES;416.025.004;18.930.548;;
78607;VACARISSES-TORREBLANCA;41.586.984;1.917.034;;
77109;VIC;419.310.634;22.489.051;;
71709;VILADECANS;413.095.952;20.274.562;;
78609;VILADECAVALLS;415.650.666;19.534.516;;
72204;VILAFRANCA DEL PENEDES;413.422.231;17.067.992;;
71700;VILANOVA I LA GELTRU;412.201.668;17.305.269;;
79410;VILASSAR DE MAR;415.005.719;23.897.035;;
