day;level;epsilon;daily_avg_delay;entries;new_entries;removed_entries;changed_entries;changed_fraction;mean_abs_delta;max_abs_delta;l2_delta
100;NIVELL_1;0.8;3.0570816708365864;56;56;0;27;0.48214285714285715;8.91455543307147;79.59630712474733;147.7853406245763
200;NIVELL_1;0.6400000000000001;2.316396177809341;56;0;0;18;0.32142857142857145;2.623840883305401;33.011167651879425;53.259683530591985
300;NIVELL_1;0.5120000000000001;1.7097995055180637;56;0;0;13;0.23214285714285715;1.2941865685045815;17.198480762497773;28.13095899109263
400;NIVELL_1;0.40960000000000013;1.6043224013805018;56;0;0;15;0.26785714285714285;1.0215981634615547;12.782496047657759;21.16116562602856
500;NIVELL_1;0.32768000000000014;1.582802679933916;56;0;0;12;0.21428571428571427;0.73636926018018;7.290885635963164;14.719375826537584
600;NIVELL_1;0.2621440000000001;1.5282873076083943;56;0;0;12;0.21428571428571427;1.1178119453265558;15.436120323180148;25.251814276164506
700;NIVELL_1;0.2097152000000001;1.546188484674658;56;0;0;12;0.21428571428571427;0.731163237614156;18.35694795371343;22.197488301895877
800;NIVELL_1;0.1677721600000001;1.440321812986057;56;0;0;12;0.21428571428571427;1.4964685027833127;33.87761705745104;42.58076877446938
900;NIVELL_1;0.13421772800000006;1.468300869067529;56;0;0;12;0.21428571428571427;0.7051758147272535;13.627396682656666;17.78177865389187
1000;NIVELL_1;0.10737418240000006;1.401071564246103;56;0;0;12;0.21428571428571427;0.9121151866624592;21.624913634285278;25.00955843109974
1100;NIVELL_1;0.08589934592000005;1.3525037513881613;56;0;0;9;0.16071428571428573;0.770698635376964;23.08831537257977;25.04304081599284
1200;NIVELL_1;0.06871947673600004;1.309845223963089;56;0;0;10;0.17857142857142858;1.1117617134437527;20.347276950326126;29.885671016545096
1300;NIVELL_1;0.054975581388800036;1.6181264330058027;56;0;0;10;0.17857142857142858;1.411720339222502;37.99490055936175;41.84541993892098
1400;NIVELL_1;0.043980465111040035;1.3448202392335034;56;0;0;9;0.16071428571428573;1.1796607499528906;36.343368382665865;38.56444100639079
1500;NIVELL_1;0.03518437208883203;1.3270708787745285;56;0;0;9;0.16071428571428573;0.3331186981728639;11.598404873570246;12.30070217478088
1600;NIVELL_1;0.028147497671065627;1.311119069315571;56;0;0;9;0.16071428571428573;0.46368721778959293;14.09460890323195;15.004118922849202
1700;NIVELL_2;0.8;3.990684986325109;56;0;0;24;0.42857142857142855;3.2631511147859933;25.136509566179893;48.717938383888495
1800;NIVELL_2;0.6400000000000001;3.514945948718552;64;8;0;22;0.34375;0.9620748973130775;9.948475648768309;17.48016914494105
1900;NIVELL_2;0.5120000000000001;2.278557026849823;64;0;0;15;0.234375;1.8660985194609032;26.986179760607023;44.99186798747461
2000;NIVELL_2;0.40960000000000013;2.0061766939429653;64;0;0;12;0.1875;0.6288156199170355;11.55522252915458;16.441940895377027
2100;NIVELL_2;0.32768000000000014;1.6093668226627307;64;0;0;12;0.1875;1.0626462075716692;28.2938388019203;32.938895716942596
2200;NIVELL_2;0.2621440000000001;1.6790773296879278;64;0;0;12;0.1875;0.8818117216401302;13.91521040861911;23.475102608980105
2300;NIVELL_2;0.2097152000000001;1.529870742695159;64;0;0;12;0.1875;1.3670541287647282;24.95621262842654;35.903272611853744
2400;NIVELL_2;0.1677721600000001;1.1494024283880602;64;0;0;12;0.1875;0.6288510357386505;9.224508901704326;15.873899872008508
2500;NIVELL_2;0.13421772800000006;1.2071314549052907;64;0;0;12;0.1875;1.0541717290513795;34.67859572372313;37.58173637884696
2600;NIVELL_2;0.10737418240000006;1.1444195028219644;64;0;0;12;0.1875;1.039780002275628;29.201476987613468;35.04075154020877
2700;NIVELL_2;0.08589934592000005;1.0794999192649253;64;0;0;12;0.1875;0.820026975102446;18.06492160114921;22.90602859634043
2800;NIVELL_2;0.06871947673600004;0.9217384828253531;64;0;0;12;0.1875;1.6664711177917246;38.2373431233523;47.8167070719737
2900;NIVELL_2;0.054975581388800036;1.1226985052448197;64;0;0;10;0.15625;1.3066541609898168;20.531561402892123;33.670657973495715
3000;NIVELL_2;0.043980465111040035;0.9622195563179907;64;0;0;11;0.171875;0.6411132447557117;13.081390715815914;18.503367349591162
3100;NIVELL_2;0.03518437208883203;1.0310106376595205;64;0;0;9;0.140625;0.8169545648688805;19.24949847012708;23.658770593920366
3200;NIVELL_2;0.028147497671065627;0.9086516158565222;64;0;0;9;0.140625;0.590280976875683;10.113121854277711;15.551227799981461
3300;NIVELL_2;0.022517998136852502;0.9213126862490979;64;0;0;9;0.140625;0.8864221742659419;20.972341581024985;28.872099115723177
3400;NIVELL_3;0.8;5.198928601688792;96;32;0;30;0.3125;4.832055027305029;44.02154413604561;107.13161653920322
3500;NIVELL_3;0.6400000000000001;3.8955894951898795;96;0;0;25;0.2604166666666667;2.668607328423045;33.35468723882284;71.60163397336247
3600;NIVELL_3;0.5120000000000001;2.853240093777446;96;0;0;22;0.22916666666666666;1.3137305835789148;22.436913656337424;40.3656047401129
3700;NIVELL_3;0.40960000000000013;2.3245579203769617;96;0;0;22;0.22916666666666666;1.3986793611849009;25.565874097445686;45.42294593151099
3800;NIVELL_3;0.32768000000000014;1.6780562207581833;96;0;0;20;0.20833333333333334;1.0935172852648096;16.09436854716634;32.930337325321474
3900;NIVELL_3;0.2621440000000001;1.6667676499762851;96;0;0;20;0.20833333333333334;0.9769062015022683;24.500422394510657;33.33793150291108
4000;NIVELL_3;0.2097152000000001;1.5229668668036318;96;0;0;20;0.20833333333333334;0.7573827034228069;14.007327145397817;23.535043684461666
