Tren_ID;Origen_Global;Desti_Global;Estacio;Ordre;Previst;Real;Retard_Min;Estat
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;L'HOSPITALET DE LLOBREGAT;1;2.00;2.00;0.00;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;BARCELONA-SANTS;2;7.50;4.00;-3.50;AVANÇAT
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;PLACA DE CATALUNYA;3;12.00;10.00;-2.00;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;ARC DE TRIOMF;4;15.50;16.00;0.50;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;BARCELONA-CLOT-ARAGO;5;20.00;20.00;0.00;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;SANT ADRIA DE BESOS;6;25.50;24.00;-1.50;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;BADALONA;7;29.00;28.00;-1.00;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;MONTGAT;8;32.50;32.00;-0.50;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;MONTGAT-NORD;9;35.00;36.00;1.00;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;EL MASNOU;10;38.50;40.00;1.50;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;OCATA;11;41.00;44.00;3.00;TARD
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;PREMIA DE MAR;12;44.50;48.00;3.50;TARD
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;VILASSAR DE MAR;13;48.00;52.00;4.00;TARD
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;CABRERA DE MAR-VILASSAR DE MAR;14;51.50;56.00;4.50;TARD
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;MATARO;15;56.00;60.00;4.00;TARD
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;SANT ANDREU DE LLAVANERES;16;61.50;64.00;2.50;TARD
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;ARENYS DE MAR;17;67.00;68.00;1.00;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;CANET DE MAR;18;72.50;74.00;1.50;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;SANT POL DE MAR;19;77.00;78.00;1.00;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;CALELLA;20;81.50;82.00;0.50;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;PINEDA DE MAR;21;86.00;86.00;0.00;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;SANTA SUSANNA;22;89.50;90.00;0.50;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;MALGRAT DE MAR;23;93.00;94.00;1.00;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;BLANES;24;99.50;100.00;0.50;PUNTUAL
2499460223808;L'HOSPITALET DE LLOBREGAT;TORDERA;TORDERA;25;106.00;106.00;0.00;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;TORDERA;1;2.00;2.00;0.00;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;BLANES;2;8.50;6.00;-2.50;AVANÇAT
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;MALGRAT DE MAR;3;15.00;14.00;-1.00;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;SANTA SUSANNA;4;18.50;18.00;-0.50;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;PINEDA DE MAR;5;22.00;22.00;0.00;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;CALELLA;6;26.50;26.00;-0.50;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;SANT POL DE MAR;7;31.00;30.00;-1.00;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;CANET DE MAR;8;35.50;34.00;-1.50;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;ARENYS DE MAR;9;41.00;38.00;-3.00;AVANÇAT
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;SANT ANDREU DE LLAVANERES;10;46.50;44.00;-2.50;AVANÇAT
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;MATARO;11;52.00;50.00;-2.00;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;CABRERA DE MAR-VILASSAR DE MAR;12;56.50;56.00;-0.50;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;VILASSAR DE MAR;13;60.00;60.00;0.00;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;PREMIA DE MAR;14;63.50;64.00;0.50;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;OCATA;15;67.00;68.00;1.00;PUNTUAL
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;EL MASNOU;16;69.50;72.00;2.50;TARD
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;MONTGAT-NORD;17;73.00;76.00;3.00;TARD
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;MONTGAT;18;75.50;80.00;4.50;TARD
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;BADALONA;19;79.00;84.00;5.00;TARD
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;SANT ADRIA DE BESOS;20;82.50;88.00;5.50;TARD
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;BARCELONA-CLOT-ARAGO;21;88.00;92.00;4.00;TARD
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;ARC DE TRIOMF;22;92.50;96.00;3.50;TARD
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;PLACA DE CATALUNYA;23;96.00;100.00;4.00;TARD
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;BARCELONA-SANTS;24;100.50;104.00;3.50;TARD
2499460223376;TORDERA;L'HOSPITALET DE LLOBREGAT;L'HOSPITALET DE LLOBREGAT;25;106.00;108.00;2.00;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;L'HOSPITALET DE LLOBREGAT;1;34.00;34.00;0.00;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;BARCELONA-SANTS;2;39.50;36.00;-3.50;AVANÇAT
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;PLACA DE CATALUNYA;3;44.00;42.00;-2.00;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;ARC DE TRIOMF;4;47.50;48.00;0.50;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;BARCELONA-CLOT-ARAGO;5;52.00;52.00;0.00;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;SANT ADRIA DE BESOS;6;57.50;56.00;-1.50;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;BADALONA;7;61.00;60.00;-1.00;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;MONTGAT;8;64.50;64.00;-0.50;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;MONTGAT-NORD;9;67.00;68.00;1.00;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;EL MASNOU;10;70.50;72.00;1.50;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;OCATA;11;73.00;76.00;3.00;TARD
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;PREMIA DE MAR;12;76.50;80.00;3.50;TARD
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;VILASSAR DE MAR;13;80.00;84.00;4.00;TARD
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;CABRERA DE MAR-VILASSAR DE MAR;14;83.50;88.00;4.50;TARD
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;MATARO;15;88.00;92.00;4.00;TARD
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;SANT ANDREU DE LLAVANERES;16;93.50;96.00;2.50;TARD
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;ARENYS DE MAR;17;99.00;100.00;1.00;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;CANET DE MAR;18;104.50;104.00;-0.50;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;SANT POL DE MAR;19;109.00;108.00;-1.00;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;CALELLA;20;113.50;112.00;-1.50;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;PINEDA DE MAR;21;118.00;116.00;-2.00;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;SANTA SUSANNA;22;121.50;122.00;0.50;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;MALGRAT DE MAR;23;125.00;126.00;1.00;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;BLANES;24;131.50;132.00;0.50;PUNTUAL
2499460223040;L'HOSPITALET DE LLOBREGAT;TORDERA;TORDERA;25;138.00;138.00;0.00;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;TORDERA;1;34.00;34.00;0.00;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;BLANES;2;40.50;38.00;-2.50;AVANÇAT
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;MALGRAT DE MAR;3;47.00;46.00;-1.00;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;SANTA SUSANNA;4;50.50;50.00;-0.50;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;PINEDA DE MAR;5;54.00;54.00;0.00;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;CALELLA;6;58.50;58.00;-0.50;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;SANT POL DE MAR;7;63.00;62.00;-1.00;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;CANET DE MAR;8;67.50;66.00;-1.50;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;ARENYS DE MAR;9;73.00;70.00;-3.00;AVANÇAT
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;SANT ANDREU DE LLAVANERES;10;78.50;76.00;-2.50;AVANÇAT
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;MATARO;11;84.00;82.00;-2.00;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;CABRERA DE MAR-VILASSAR DE MAR;12;88.50;88.00;-0.50;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;VILASSAR DE MAR;13;92.00;92.00;0.00;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;PREMIA DE MAR;14;95.50;96.00;0.50;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;OCATA;15;99.00;100.00;1.00;PUNTUAL
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;EL MASNOU;16;101.50;104.00;2.50;TARD
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;MONTGAT-NORD;17;105.00;108.00;3.00;TARD
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;MONTGAT;18;107.50;112.00;4.50;TARD
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;BADALONA;19;111.00;116.00;5.00;TARD
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;SANT ADRIA DE BESOS;20;114.50;120.00;5.50;TARD
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;BARCELONA-CLOT-ARAGO;21;120.00;124.00;4.00;TARD
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;ARC DE TRIOMF;22;124.50;128.00;3.50;TARD
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;PLACA DE CATALUNYA;23;128.00;132.00;4.00;TARD
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;BARCELONA-SANTS;24;132.50;136.00;3.50;TARD
2499460223424;TORDERA;L'HOSPITALET DE LLOBREGAT;L'HOSPITALET DE LLOBREGAT;25;138.00;140.00;2.00;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;L'HOSPITALET DE LLOBREGAT;1;66.00;66.00;0.00;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;BARCELONA-SANTS;2;71.50;68.00;-3.50;AVANÇAT
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;PLACA DE CATALUNYA;3;76.00;74.00;-2.00;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;ARC DE TRIOMF;4;79.50;80.00;0.50;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;BARCELONA-CLOT-ARAGO;5;84.00;84.00;0.00;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;SANT ADRIA DE BESOS;6;89.50;88.00;-1.50;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;BADALONA;7;93.00;92.00;-1.00;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;MONTGAT;8;96.50;96.00;-0.50;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;MONTGAT-NORD;9;99.00;100.00;1.00;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;EL MASNOU;10;102.50;104.00;1.50;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;OCATA;11;105.00;108.00;3.00;TARD
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;PREMIA DE MAR;12;108.50;112.00;3.50;TARD
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;VILASSAR DE MAR;13;112.00;116.00;4.00;TARD
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;CABRERA DE MAR-VILASSAR DE MAR;14;115.50;120.00;4.50;TARD
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;MATARO;15;120.00;124.00;4.00;TARD
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;SANT ANDREU DE LLAVANERES;16;125.50;128.00;2.50;TARD
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;ARENYS DE MAR;17;131.00;132.00;1.00;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;CANET DE MAR;18;136.50;136.00;-0.50;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;SANT POL DE MAR;19;141.00;140.00;-1.00;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;CALELLA;20;145.50;144.00;-1.50;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;PINEDA DE MAR;21;150.00;148.00;-2.00;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;SANTA SUSANNA;22;153.50;154.00;0.50;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;MALGRAT DE MAR;23;157.00;158.00;1.00;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;BLANES;24;163.50;164.00;0.50;PUNTUAL
2499468912960;L'HOSPITALET DE LLOBREGAT;TORDERA;TORDERA;25;170.00;170.00;0.00;PUNTUAL
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;TORDERA;1;66.00;66.00;0.00;PUNTUAL
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;BLANES;2;72.50;70.00;-2.50;AVANÇAT
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;MALGRAT DE MAR;3;79.00;78.00;-1.00;PUNTUAL
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;SANTA SUSANNA;4;82.50;82.00;-0.50;PUNTUAL
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;PINEDA DE MAR;5;86.00;86.00;0.00;PUNTUAL
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;CALELLA;6;90.50;90.00;-0.50;PUNTUAL
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;SANT POL DE MAR;7;95.00;94.00;-1.00;PUNTUAL
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;CANET DE MAR;8;99.50;98.00;-1.50;PUNTUAL
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;ARENYS DE MAR;9;105.00;102.00;-3.00;AVANÇAT
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;SANT ANDREU DE LLAVANERES;10;110.50;108.00;-2.50;AVANÇAT
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;MATARO;11;116.00;114.00;-2.00;PUNTUAL
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;CABRERA DE MAR-VILASSAR DE MAR;12;120.50;120.00;-0.50;PUNTUAL
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;VILASSAR DE MAR;13;124.00;126.00;2.00;PUNTUAL
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;PREMIA DE MAR;14;127.50;130.00;2.50;TARD
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;OCATA;15;131.00;134.00;3.00;TARD
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;EL MASNOU;16;133.50;138.00;4.50;TARD
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;MONTGAT-NORD;17;137.00;142.00;5.00;TARD
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;MONTGAT;18;139.50;146.00;6.50;TARD
2499468913776;TORDERA;L'HOSPITALET DE LLOBREGAT;BADALONA;19;143.00;150.00;7.00;TARD
